Stock ,Day,Month,Year,Open,High,Low,Close
AMZN,29,May,2013,265.459991,268.25,264.839996,265.529999
AMZN,30,May,2013,265.709991,268.570007,265.609985,266.829987
AMZN,31,May,2013,266,271.910004,265.940002,269.200012
AMZN,3,June,2013,268.959991,269.109985,262.950012,266.880005
AMZN,4,June,2013,267,268.880005,263.019989,265.700012
AMZN,5,June,2013,265.809998,271.660004,265.019989,267.170013
AMZN,6,June,2013,267.75,270.5,264.209991,267.829987
AMZN,7,June,2013,269.73999,280.100006,269.130005,276.869995
AMZN,10,June,2013,NaN,NaN,NaN,NaN
AMZN,11,June,2013,276,278.410004,274.23999,274.779999
AMZN,12,June,2013,276.600006,276.799988,270.450012,271.670013
AMZN,13,June,2013,271.5,276.799988,270.290009,275.790009
AMZN,14,June,2013,275,277.070007,273.440002,273.98999
AMZN,17,June,2013,276.350006,280.200012,275.649994,278.059998
AMZN,18,June,2013,279.079987,282.910004,278.109985,281.76001
AMZN,19,June,2013,281.26001,283.339996,277.869995,278.160004
AMZN,20,June,2013,275.140015,278.600006,272.390015,273.440002
AMZN,21,June,2013,274.570007,275.839996,269.790009,273.359985
AMZN,24,June,2013,271.290009,273.160004,265,270.609985
AMZN,25,June,2013,272.299988,273.470001,269,272.089996
AMZN,26,June,2013,273.980011,277.980011,273.5,277.570007
AMZN,27,June,2013,279.179993,280.200012,274.540009,277.549988
AMZN,28,June,2013,276.190002,279.829987,276.190002,277.690002
AMZN,1,July,2013,279,283.290009,277.160004,282.100006
AMZN,2,July,2013,281.040009,286.579987,280.589996,283.730011
AMZN,3,July,2013,282,285.399994,282,284.029999
AMZN,5,July,2013,285,286.380005,282.070007,285.880005
AMZN,8,July,2013,286.420013,291.670013,286.140015,290.589996
AMZN,9,July,2013,NaN,NaN,NaN,NaN
AMZN,10,July,2013,291.410004,293.339996,289.399994,292.329987
AMZN,11,July,2013,294.98999,300.690002,292.100006,299.660004
AMZN,12,July,2013,298.690002,307.549988,298.5,307.549988
AMZN,15,July,2013,NaN,NaN,NaN,NaN
AMZN,16,July,2013,307.299988,309.390015,305.51001,306.869995
AMZN,17,July,2013,306.970001,308.799988,305.690002,308.690002
AMZN,18,July,2013,306.269989,306.339996,301.869995,304.109985
AMZN,19,July,2013,304.390015,305.790009,301.910004,305.230011
AMZN,22,July,2013,309.25,309.25,302,303.480011
AMZN,23,July,2013,NaN,NaN,NaN,NaN
AMZN,24,July,2013,303.019989,303.839996,298.040009,298.940002
AMZN,25,July,2013,299,304.5,296.75,303.399994
AMZN,26,July,2013,299.549988,313.619995,295.549988,312.01001
AMZN,29,July,2013,311.070007,313,305.899994,306.100006
AMZN,30,July,2013,307.720001,309.779999,301.570007,302.410004
AMZN,31,July,2013,303.910004,305.149994,301,301.220001
